Auction,Bioshortage,CEPCI,EPC,Invasion,O2eff,Powersurge,Wasu,cAM,cASU,cFR,cbio,celc,cheat,cmea,coc,contingency_clc,contingency_process,contingency_project,crc,cstore,ctrans,cycl,dr,lifetime,operating,ownercost,sek,usd,decision,operating_increase,rate,timing,scenario,policy,model
False,False,784.6964245306207,0.20865249112079623,True,0.9281621669269784,False,817.9980964802772,1.383504190848728,1.0883006862722653,1.8112550632339066,46.61294287455158,112.31072544492649,0.573960632120752,29.70718717072774,424.6884037775686,0.48975492337009996,0.05926399564253347,0.21498346351245456,180.60091217228594,32.88575773611728,59.370934249917845,1.0299989650895582,0.0512368720392789,21,4261.096017433418,0.19697195447857857,0.08167226771484523,0.9727137136323257,oxy,600,0.9002700417860813,15,40,0,BECCSMalmo
True,False,752.3208745595883,0.19709620988302426,False,0.9256082794951431,False,818.8630846332051,1.251152784808625,1.8072246309893996,1.0145111994959088,91.732652148063,56.2599656466005,0.6124441656174124,33.06621855148397,473.816186866778,0.4376583374380168,0.04771432758117059,0.23130894978343614,94.82962184907637,15.897107216838997,55.0610649791239,1.650237297958286,0.059656490229206834,23,4665.165451206416,0.2382610417179277,0.08353927856332391,0.9488007180505653,oxy,600,0.9002700417860813,15,41,0,BECCSMalmo
False,False,812.5071593025341,0.2045147584753182,False,0.8812452512773281,True,890.2015185818061,1.8309121166914135,1.5515182972309551,1.5938291008745304,96.88742415072086,32.94174530299959,0.8144136221184486,33.1424085936541,465.24864741370163,0.42103556468412645,0.03023675400251673,0.19583327479243554,248.54002776093697,34.14954252530063,40.5698883498202,1.7317307093516932,0.09655051376510132,24,4691.473198291791,0.2497719544169327,0.08017187209776339,0.9185495580497478,oxy,600,0.9002700417860813,15,42,0,BECCSMalmo
False,False,759.9376298533996,0.1720774043771829,False,0.898564030361928,True,863.244517625388,1.007527270874932,1.4520682002898258,1.8329235980322287,76.10115194991123,34.46896060337045,0.8161891349339384,29.84173887607349,519.2206535086635,0.36025802795305484,0.06263686810935382,0.17673469701850525,62.10460732120355,27.804045395312233,59.81475790374242,1.7425051002965375,0.059359427844387164,21,4590.161916959145,0.20459516226725274,0.09260839941642143,0.9194963274812479,oxy,600,0.9002700417860813,15,43,0,BECCSMalmo
True,True,802.5995672029687,0.19310788043820862,False,0.9151026302081708,True,820.9423993807981,1.473235377282318,1.2416429161845377,1.949620671581941,25.562677336332023,119.80172721445786,0.8103032447528824,27.770427529987952,554.8821399679558,0.3427485471321595,0.06450969527987876,0.21384475285704554,139.5045178555366,24.591082041342275,62.107785492746316,1.0614771104893486,0.09335868718764326,24,4539.72267411901,0.2121911075200609,0.09650944189982655,0.9158631145412491,oxy,600,0.9002700417860813,15,44,0,BECCSMalmo
False,True,892.3714425523026,0.22497441688420572,False,0.8731917804775201,True,893.4987092021128,1.5410128611089164,1.6573951741181592,1.3517103036042102,31.3856745646684,12.280326110483985,0.9309289864663027,30.095275675964476,499.5792301756655,0.3675573204203879,0.044394871003909445,0.16521133041841002,135.08526437876844,20.773216689222313,76.62709118771778,1.0562786619294917,0.0952248189566261,28,4709.380967625761,0.22531006146266694,0.0930327155653699,0.9582473011120418,oxy,600,0.9002700417860813,15,45,0,BECCSMalmo
True,False,761.8528817890361,0.15551412298170783,True,0.8501352284095397,True,835.5098686738704,1.1449609413457447,1.3176272480414073,1.9540491400228412,42.58448483372675,76.01754912018487,0.5430554978651354,34.729890492133116,514.7978348507112,0.35052101089399385,0.06620693396645748,0.24214501075436629,146.84128933904375,25.67756863313345,48.44302434233138,1.3659049670335022,0.07408720880791951,27,4791.249700657444,0.20277777568568137,0.08585487848596796,0.9167954184723871,oxy,600,0.9002700417860813,15,46,0,BECCSMalmo
True,True,815.616766695556,0.23233318846004933,True,0.8513308816635671,False,885.6017245088228,1.9235162478770174,1.7706402466988143,1.4610062596172593,56.75277876179947,69.73680376355729,0.9110411979418437,29.086852637254985,491.65308221611895,0.39184648546712497,0.03656025353263105,0.20668943414190677,206.65923086999797,32.77661990274957,66.68808725622789,1.688685846787624,0.05468877462759718,23,4563.112204699943,0.21975513711458045,0.08418735139679404,0.9698394524107475,oxy,600,0.9002700417860813,15,47,0,BECCSMalmo
False,True,878.5750648378357,0.20059635054015046,False,0.8896077975418475,True,825.9713634890375,1.4465099655981923,1.2547186366578118,1.8074127109308384,44.16617687783952,53.30037092959512,0.7682960583515099,28.67822330494882,586.0927070814789,0.3174763026167849,0.06281021677352319,0.22499387812111868,77.39521525969175,34.64792274914963,58.470852584625234,1.9680755856584655,0.06876750403880592,26,4873.159309745779,0.2007457542705489,0.0830191841868023,0.9542481941924181,oxy,600,0.9002700417860813,15,48,0,BECCSMalmo
True,False,747.0342550781734,0.20934723375364556,True,0.9183792890256254,True,812.8658898403578,1.8571834860339247,1.0921099556131,1.6654904329368576,48.69664802412328,91.19968801498692,0.9445808922891258,31.45733529774016,511.1970194034878,0.38997088785632045,0.06538939324596799,0.22376887187491354,122.13118568346268,22.62504376938908,68.27673339973946,1.1433508071301708,0.09041709850490261,22,4951.365968124044,0.20941005690394968,0.08965249998331214,0.9755735458967612,oxy,600,0.9002700417860813,15,49,0,BECCSMalmo
